codiceVia;nomeVia;isSensoUnico;nome_strada
8911;VIA DEI POMARI;0;SP 90 Destra Adige
3501;VIA CENTOCHIAVI;0;
60;VICOLO DELL'ADIGE;0;
3503;VIA MESIANO;0;SP 204 Villazzano-Ponte Ludovico
7080;VIA GALASSA;0;
7335;VIA BORINO;0;
7730;VIA G. POLI;0;
3811;TANGENZIALE SUD;1;SS 12 svincoli
3501;VIA CENTOCHIAVI;0;
3520;VICOLO DEL VO';0;
7475;PIAZZA OLTRECASTELLO;0;
1900;VIA DEI MILLE;0;
7430;VIA VILLA MARIA;0;
7050;LOCALITA' CERNIDOR;0;
5635;VIA ALLE ROSTE;0;
7820;VIA DELLA ROZOLA;0;
3240;VICOLO TERLAGO;0;
6905;SAN VITO;0;
8608;VIA ALLA CESA VECIA;0;
420;VIA G. BRESADOLA;1;
8514;VIA DELLE CANOPE;0;
7145;STRADA DELLA POZZATA;0;
3503;VIA MESIANO;0;
7865;STRADA DELLE NOVALINE;0;
330;VIA BOLGHERA;0;
5740;VIA L. BONAZZA;0;
3535;VIA V. ZAMBRA;0;
3535;VIA V. ZAMBRA;0;
5760;VIA F. ORADINI;0;
3811;TANGENZIALE SUD;1;SS 12 svincoli
5595;VIA DI MELTA;0;
2050;VIA A. NICOLODI;1;
5102;VIA ALTO ADIGE;0;
1960;VIA MONTELLO;0;
840;VIA DEL COMMERCIO;1;SP 235 dell'Interporto
8940;VIA DI SANTA BRIGIDA;0;
8870;VIA VAL GOLA;0;
3501;VIA CENTOCHIAVI;0;
2250;VIA DEI PARADISI;0;
6120;VIA ALLE COSTE;0;
6300;VIA ALLA PELEGRINA;0;
7845;LOCALITA LASTE MATTARELLO;0;
3535;VIA V. ZAMBRA;0;
3540;VIA DON G. B. ZANELLA;1;
7340;LOCALITA' PASSO CIMIRLO;0;
8032;VIA DELLE PIAZZE;0;
830;VIA DELLA COLLINA;0;
3540;VIA DON G. B. ZANELLA;1;
3540;VIA DON G. B. ZANELLA;0;
3506;VIA G. B. TRENER;0;
1100;VIA DEI FERROVIERI;0;
7875;LOCALITA' ACQUAVIVA;0;
3370;VIA C. VANNETTI;1;
8635;ANDRONA DI ZIMON;0;
3501;VIA CENTOCHIAVI;0;
8042;PIAZZA DEL SACRO CUORE;0;
8319;STRADA DI OMALGA;0;
4004;GIARDINO MASO GINOCCHIO;0;
8491;STRADA ALLE GORGHE;0;
1770;LUNGADIGE MARCO APULEIO;0;
8780;VIA DELLE MASERE;0;
3550;VIA ZARA;0;
3700;PASSAGGIO B. DISERTORI;0;
5310;VIA SAN GIOV. NEPOMUCENO;0;
5340;VIA SOPRASASSO;0;
5101;VIA SANT'ANNA;0;
3680;VIA VITTIME DELLE FOIBE;0;
3150;VIA DEI SOLTERI;0;
3400;PIAZZA VENEZIA;0;
7080;VIA GALASSA;0;
7335;VIA BORINO;0;
1540;VIA DRUSO;1;SS 12 svincoli
395;LUNGADIGE L. BRAILLE;0;
7010;VIA ASIAGO;0;
3310;VIA TORRE VERDE;1;
7230;VIA VALNIGRA;0;SP 204 Villazzano-Ponte Ludovico
8260;PIAZZA SAN LEONARDO;1;
650;VIA AL CASTELLER;0;
8126;VIA DELLA GIARA;0;
0;;1;
7115;VIA DELLA ZIVERANA;0;
1310;VIA DELLE GHIAIE;0;
740;VIA DELLA CERVARA;0;
1060;VIA MONS. C. ENDRICI;0;
0;;1;
6440;VIA AL MASO SPECCHIO;0;
6403;VIA GIULIO CIURLETTI;0;
8730;VIA BERLINA;0;
8760;VIA FILARI LONGHI;1;
5901;GIARDINO AL PONT DEI VODI;0;
7460;VIA DON TOMMASO DALLAFIOR;0;
