Num_Civico;strada;cap;sobborgo
18;350;38122;Trento
19;350;38122;Trento
20;350;38122;Trento
22;350;38122;Trento
23;350;38122;Trento
23;350;38122;Trento
23;350;38122;Trento
24;350;38122;Trento
24;350;38122;Trento
26;350;38122;Trento
27;350;38122;Trento
27;350;38122;Trento
27;350;38122;Trento
29;350;38122;Trento
1;360;38122;Trento
2;360;38122;Trento
2;360;38122;Trento
2;360;38122;Trento
6;360;38122;Trento
6;360;38122;Trento
7;360;38122;Trento
7;360;38122;Trento
7;360;38122;Trento
8;360;38122;Trento
8;360;38122;Trento
9;360;38122;Trento
11;360;38122;Trento
13;360;38122;Trento
13;360;38122;Trento
1;370;38122;Trento
2;370;38122;Trento
3;370;38122;Trento
4;370;38122;Trento
5;370;38122;Trento
6;370;38122;Trento
7;370;38122;Trento
8;370;38122;Trento
9;370;38122;Trento
10;370;38122;Trento
12;370;38122;Trento
13;370;38122;Trento
14;370;38122;Trento
15;370;38122;Trento
16;370;38122;Trento
18;370;38122;Trento
20;370;38122;Trento
22;370;38122;Trento
24;370;38122;Trento
1;380;38122;Trento
2;380;38122;Trento
3;380;38122;Trento
4;380;38122;Trento
5;380;38122;Trento
6;380;38122;Trento
7;380;38122;Trento
8;380;38122;Trento
9;380;38122;Trento
10;380;38122;Trento
11;380;38122;Trento
12;380;38122;Trento
13;380;38122;Trento
14;380;38122;Trento
15;380;38122;Trento
16;380;38122;Trento
17;380;38122;Trento
18;380;38122;Trento
19;380;38122;Trento
20;380;38122;Trento
22;380;38122;Trento
24;380;38122;Trento
26;380;38122;Trento
1;390;38122;Trento
2;390;38122;Trento
3;390;38122;Trento
3;390;38122;Trento
4;390;38122;Trento
5;390;38122;Trento
6;390;38122;Trento
6;390;38122;Trento
7;390;38122;Trento
8;390;38122;Trento
8;390;38122;Trento
9;390;38122;Trento
11;390;38122;Trento
13;390;38122;Trento
15;390;38122;Trento
1;395;38121;Trento
1;395;38121;Trento
3;395;38121;Trento
4;395;38121;Trento
4;395;38121;Trento
6;395;38121;Trento
8;395;38121;Trento
10;395;38121;Trento
12;395;38121;Trento
14;395;38121;Trento
16;395;38121;Trento
18;395;38121;Trento
20;395;38121;Trento
22;395;38121;Trento
24;395;38121;Trento
26;395;38121;Trento
30;395;38121;Trento
30;395;38121;Trento
1;400;38122;Trento
2;400;38122;Trento
3;400;38122;Trento
3/B;400;38122;Trento
4;400;38122;Trento
5;400;38122;Trento
05-gen;400;38122;Trento
6;400;38122;Trento
7;400;38122;Trento
8;400;38122;Trento
9;400;38122;Trento
10;400;38122;Trento
11;400;38122;Trento
12;400;38122;Trento
13;400;38122;Trento
14;400;38122;Trento
15;400;38122;Trento
16;400;38122;Trento
17;400;38122;Trento
18;400;38122;Trento
19;400;38122;Trento
20;400;38122;Trento
21;400;38122;Trento
22;400;38122;Trento
23;400;38122;Trento
24;400;38122;Trento
25;400;38122;Trento
25;400;38122;Trento
26;400;38122;Trento
28;400;38122;Trento
28;400;38122;Trento
30;400;38122;Trento
31;400;38122;Trento
32;400;38122;Trento
32;400;38122;Trento
33;400;38122;Trento
34;400;38122;Trento
35;400;38122;Trento
35;400;38122;Trento
36;400;38122;Trento
37;400;38122;Trento
38;400;38122;Trento
39;400;38122;Trento
40;400;38122;Trento
41;400;38122;Trento
42;400;38122;Trento
42;400;38122;Trento
43;400;38122;Trento
43;400;38122;Trento
43;400;38122;Trento
44;400;38122;Trento
45;400;38122;Trento
46;400;38122;Trento
47;400;38122;Trento
48;400;38122;Trento
49;400;38122;Trento
50;400;38122;Trento
51;400;38122;Trento
52;400;38122;Trento
53;400;38122;Trento
54;400;38122;Trento
55;400;38122;Trento
56;400;38122;Trento
57;400;38122;Trento
58;400;38122;Trento
59;400;38122;Trento
60;400;38122;Trento
61;400;38122;Trento
61/1;400;38122;Trento
62;400;38122;Trento
63;400;38122;Trento
63;400;38122;Trento
64;400;38122;Trento
65;400;38122;Trento
66;400;38122;Trento
67;400;38122;Trento
68;400;38122;Trento
69;400;38122;Trento
70;400;38122;Trento
70/1;400;38122;Trento
72;400;38122;Trento
74;400;38122;Trento
76;400;38122;Trento
78;400;38122;Trento
79;400;38121;Trento
79;400;38121;Trento
79;400;38121;Trento
80;400;38122;Trento
81;400;38121;Trento
81;400;38121;Trento
81;400;38121;Trento
81;400;38121;Trento
81/1;400;38121;Trento
82;400;38122;Trento
83;400;38121;Trento
84;400;38122;Trento
93;400;38121;Trento
95;400;38121;Trento
97;400;38121;Trento
99;400;38121;Trento
101;400;38121;Trento
104;400;38121;Trento
105;400;38121;Trento
106;400;38121;Trento
108;400;38121;Trento
110;400;38121;Trento
111;400;38121;Trento
112;400;38121;Trento
113;400;38121;Trento
114;400;38121;Trento
115;400;38121;Trento
115;400;38121;Trento
116;400;38121;Trento
117;400;38121;Trento
117;400;38121;Trento
